Country,Year,gdp,inflation,unemployment,democracy,corruption,political_index,deaths,risk
Angola,1991,881.919488130062,83.7837837837837,16.816,0.055,0.701,0.083,516,High
Burundi,1991,204.668258398817,8.9969387349433,3.147,0.084,0.415,0.089,342,High
Bangladesh,1991,272.064948495878,6.35736412278234,2.2,0.253,0.788,0.483,107,High
Cameroon,1991,1014.82897292999,0.0600513305003454,8.986,0.137,0.863,0.263,50,Medium
Colombia,1991,1485.73971889208,30.3878204854435,10.12,0.39,0.478,0.516,872,High
Algeria,1991,1759.11201648229,25.8863869348513,20.6,0.157,0.532,0.35,34,Medium
Spain,1991,14801.3226152172,5.93421344335924,15.929,0.811,0.038,0.892,45,Medium
Ethiopia,1991,277.565910365091,35.7225982298715,3.284,0.076,0.496,0.203,12440,High
United Kingdom,1991,19900.7266505069,7.46178295746934,8.55,0.742,0.03,0.816,38,Medium
Ghana,1991,418.254121349986,18.0314390089849,3.489,0.097,0.743,0.105,30,Medium
Guatemala,1991,1014.40279682682,33.1664219167535,2.197,0.208,0.852,0.382,426,High
Haiti,1991,496.545987433864,15.4199073669492,7.329,0.166,0.857,0.327,270,High
Indonesia,1991,624.387495384411,9.41906784347004,2.617,0.057,0.94,0.195,429,High
India,1991,305.574055928592,13.8702461773683,7.641,0.561,0.497,0.713,3724,High
Iraq,1991,22.9521327615352,180.952380952381,8.639,0.06,0.888,0.08,24501,High
Israel,1991,14346.0810278646,19.1088798242862,13.387,0.69,0.117,0.768,47,Medium
Kenya,1991,344.722642127742,20.0844955754632,2.78,0.132,0.88,0.203,17,Medium
Kuwait,1991,8147.10807329839,9.05818836232758,0.884,0.115,0.375,0.108,460,High
Sri Lanka,1991,546.292515570886,12.1856307214389,14.661,0.274,0.413,0.445,6646,High
Morocco,1991,1292.23376464844,7.98616600790512,13.502,0.177,0.79,0.172,19,Medium
Mali,1991,381.993534670324,1.80042722001858,1.399,0.154,0.704,0.21,247,High
Niger,1991,384.44311679922,-7.79664179104467,1.588,0.254,0.473,0.385,40,Medium
Nigeria,1991,596.938795710722,13.0069731037428,3.831,0.1,0.84,0.204,380,High
Nepal,1991,195.716621410462,15.5574529276949,10.465,0.309,0.826,0.383,2,Medium
Pakistan,1991,380.019843346229,11.7912703351416,0.596,0.196,0.831,0.367,62,Medium
Peru,1991,1527.38879472866,409.530166622023,4.926,0.39,0.538,0.59,1350,High
Philippines,1991,804.323330530547,19.2614585266282,3.727,0.433,0.716,0.565,1549,High
Papua New Guinea,1991,941.707721616563,6.96568127760753,2.793,0.425,0.612,0.554,29,Medium
Rwanda,1991,253.966902025944,19.6371658148373,12.335,0.18,0.513,0.256,1102,High
Sudan,1991,1617.55676269531,123.578126902936,15.619,0.012,0.784,0.086,4566,High
Senegal,1991,913.399575796737,-1.75355690199309,2.861,0.389,0.414,0.522,16,Medium
El Salvador,1991,955.826897421092,14.4026748806266,7.53,0.089,0.815,0.221,88,Medium
Chad,1991,302.487268390603,3.19387473029496,0.668,0.057,0.959,0.168,95,Medium
Togo,1991,549.808011573,0.387081797870757,4.057,0.126,0.816,0.229,63,Medium
Thailand,1991,1765.62267359529,5.70985259891396,2.63,0.158,0.76,0.209,2,Medium
Angola,1992,668.706017459877,299.509803921568,16.959,0.076,0.78,0.146,2352,High
Azerbaijan,1992,60.2351205405972,-10.63009715762,1.8,0.206,0.63,0.367,2856,High
Burundi,1992,184.868970456447,1.82333333333307,3.131,0.099,0.442,0.165,61,Medium
Bangladesh,1992,273.465072520272,3.63407691798491,2.233,0.272,0.813,0.513,225,High
Cameroon,1992,1005.44897647465,-0.0160550458717418,9.055,0.144,0.89,0.288,25,Medium
Colombia,1992,1730.39091795329,27.010626623136,9.44,0.428,0.434,0.558,1500,High
Germany,1992,26559.8543879632,5.0569779673173,6.323,0.853,0.011,0.893,4,Medium
Algeria,1992,1802.69300801289,31.6696619117149,24.38,0.081,0.512,0.188,274,High
Spain,1992,16100.6799428032,5.92453126228489,17.697,0.811,0.038,0.892,23,Medium
Ethiopia,1992,207.406400863847,10.5274440119592,3.416,0.094,0.496,0.23,1026,High
France,1992,23615.0168565483,2.36376046269355,10.203,0.803,0.059,0.875,0,Low
United Kingdom,1992,20487.1707852878,4.59154929577461,9.772,0.742,0.03,0.815,39,Medium
Ghana,1992,396.426407640517,10.0561167448841,4.7,0.114,0.765,0.173,63,Medium
Guinea-Bissau,1992,574.32110641811,69.5836363993793,3.083,0.054,0.709,0.13,2,Medium
Guatemala,1992,1096.45976992698,10.0459179984088,2.163,0.208,0.852,0.382,393,High
Croatia,1992,2321.15204123035,625.000000000001,10.974,0.18,0.588,0.299,142,High
Indonesia,1992,673.67103954742,7.52351006242677,2.734,0.052,0.94,0.194,53,Medium
India,1992,319.182472626315,11.7878170418134,7.649,0.572,0.551,0.726,4163,High
Iraq,1992,30.2539012636825,83.615819209039,8.346,0.06,0.888,0.08,846,High
Israel,1992,15509.9913638817,12.0653319283457,14.08,0.683,0.117,0.762,72,Medium
Jordan,1992,1286.6347360596,3.9958356055719,19.947,0.196,0.464,0.227,1,Medium
Kenya,1992,336.68139978696,27.3323644475784,2.894,0.186,0.88,0.291,159,High
Sri Lanka,1992,579.655117618283,11.3834370512206,14.22,0.284,0.413,0.449,4444,High
Moldova,1992,778.017667420102,1026.82626424702,3.7,0.366,0.677,0.501,585,High
Mexico,1992,4220.56643677057,15.5078962533573,3.235,0.208,0.769,0.438,16,Medium
Mali,1992,385.278654489301,-6.24250599520425,1.483,0.344,0.777,0.473,86,Medium
Mauritania,1992,1036.47437808576,10.141817562151,10.052,0.107,0.861,0.272,0,Low
Niger,1992,384.029657304316,-4.47561790247176,1.569,0.235,0.496,0.334,29,Medium
Nigeria,1992,508.515905682785,44.588842715023,3.79,0.108,0.84,0.223,943,High
Nepal,1992,165.02959412726,17.1495236243439,10.473,0.321,0.826,0.407,0,Low
Pakistan,1992,395.67720859593,9.5090414619015,0.587,0.196,0.831,0.367,72,Medium
Peru,1992,1567.40910765128,73.5282942442641,5.068,0.115,0.56,0.249,1195,High
Philippines,1992,916.515694532029,8.65100357865265,3.849,0.425,0.702,0.555,445,High
Papua New Guinea,1992,1050.7071689258,4.30961457009748,2.608,0.418,0.612,0.545,61,Medium
Rwanda,1992,264.083914517464,9.56041187600816,12.114,0.193,0.513,0.29,647,High
Sudan,1992,252.610092163086,117.624468896394,15.668,0.02,0.784,0.088,4314,High
Senegal,1992,951.204960087807,-0.109942967085665,2.928,0.396,0.414,0.53,135,High
Solomon Islands,1992,763.857968549522,10.7511603675285,1.851,0.414,0.374,0.532,2,Medium
El Salvador,1992,1040.78164082019,11.2144813801987,7.88,0.141,0.771,0.272,4,Medium
Chad,1992,290.648286132566,-3.11303067214949,0.658,0.058,0.959,0.173,1190,High
Togo,1992,564.71733648074,1.39378663675938,4.209,0.15,0.816,0.274,5,Medium
Thailand,1992,1971.60879910694,4.13914575077056,1.35,0.2,0.751,0.271,0,Low
Tanzania,1992,250.329925537109,21.8468468468473,3.683,0.331,0.406,0.393,1,Medium
Angola,1993,449.727894936295,1378.52760736196,17.44,0.075,0.799,0.155,12398,High
Azerbaijan,1993,209.530954548425,1128.00002429404,4.5,0.137,0.841,0.306,1194,High
Burundi,1993,165.344120319403,9.67934658067928,3.094,0.164,0.485,0.277,10218,High
Bangladesh,1993,280.757274450366,3.01481859989798,2.31,0.269,0.813,0.513,43,Medium
Brazil,1993,2348.90635436384,1927.38079016026,6.03,0.704,0.563,0.84,43,Medium
Cameroon,1993,1309.93629975506,-3.20655456915868,9.154,0.148,0.924,0.288,47,Medium
Colombia,1993,1929.26721811738,22.4424828533275,7.8,0.427,0.434,0.558,302,High
Algeria,1993,1831.04800976449,20.5403261235826,26.23,0.079,0.567,0.173,826,High
Spain,1993,13330.3798192211,4.56907173681813,22.156,0.818,0.038,0.892,12,Medium
Ethiopia,1993,168.520401400989,3.54306596166032,3.252,0.097,0.496,0.23,133,High
United Kingdom,1993,18389.0195675099,2.55857796929705,10.346,0.747,0.03,0.814,47,Medium
Ghana,1993,359.800844097528,24.9598424742497,5.231,0.334,0.69,0.445,2,Medium
Guatemala,1993,1165.67442716224,11.8196901746257,2.133,0.216,0.816,0.385,218,High
Croatia,1993,2447.50319141761,1500.0,10.779,0.213,0.588,0.377,373,High
Haiti,1993,258.066372258817,29.7059715065172,7.534,0.089,0.84,0.207,37,Medium
Indonesia,1993,817.395116417856,9.6719108926401,2.782,0.052,0.94,0.193,27,Medium
India,1993,302.884806246174,6.32689048779867,7.662,0.576,0.551,0.731,2326,High
Iraq,1993,53.7437842348819,207.692307692309,8.36,0.06,0.888,0.082,368,High
Israel,1993,15178.8399875391,10.8838740009403,12.741,0.683,0.117,0.762,88,Medium
Italy,1993,18781.9529427137,4.62673468331298,10.212,0.749,0.261,0.835,0,Low
Kenya,1993,228.998032843434,45.9788813036218,2.979,0.207,0.862,0.329,287,High
Sri Lanka,1993,607.231847102846,11.7467370174946,13.82,0.284,0.413,0.449,2084,High
Mexico,1993,6048.34840388099,9.75146045357553,3.365,0.215,0.769,0.455,34,Medium
Mali,1993,372.412257655559,-0.263767884261804,1.419,0.426,0.815,0.594,0,Low
Niger,1993,335.429581902384,-1.21503496503496,1.541,0.399,0.548,0.528,6,Medium
Nigeria,1993,539.573202297542,57.1652528349217,4.023,0.148,0.84,0.229,1185,High
Nepal,1993,172.805202579767,7.50539419087105,10.492,0.326,0.826,0.407,3,Medium
Pakistan,1993,407.888140688466,9.97366476029209,0.596,0.201,0.831,0.368,48,Medium
Peru,1993,1487.67404314175,48.5799864468885,4.795,0.095,0.691,0.252,779,High
Philippines,1993,918.642953796961,6.71631104109973,3.869,0.406,0.702,0.542,318,High
Papua New Guinea,1993,1151.28388116601,4.97411430311646,2.382,0.413,0.612,0.537,40,Medium
Rwanda,1993,247.023318476014,12.3543887630448,12.155,0.129,0.468,0.187,977,High
Sudan,1993,312.693908691406,101.380423763812,15.51,0.018,0.824,0.088,6042,High
Senegal,1993,877.52900343803,-0.586434615120184,2.878,0.448,0.414,0.61,285,High
Chad,1993,220.729964903293,-8.427933486518,0.7,0.069,0.959,0.173,313,High
Togo,1993,414.013995214907,-1.00688168855034,4.507,0.16,0.829,0.289,48,Medium
Thailand,1993,2245.13688708983,3.31219168428468,1.49,0.303,0.751,0.405,1,Medium
Zambia,1993,390.916673784646,183.312041464393,19.7,0.355,0.584,0.447,1,Medium
Angola,1994,334.973590276074,949.792531120331,17.444,0.075,0.799,0.155,4009,High
Armenia,1994,390.879964297655,3373.75944336293,6.6,0.318,0.492,0.584,30,Medium
Azerbaijan,1994,157.063549947072,1662.21594875899,6.3,0.086,0.928,0.249,1489,High
Burundi,1994,161.892584261635,14.8528149833969,3.106,0.168,0.479,0.237,897,High
Bangladesh,1994,280.603031791216,5.31374007936497,2.37,0.269,0.813,0.513,32,Medium
Brazil,1994,3298.71491891786,2075.88839757325,6.579,0.707,0.511,0.846,32,Medium
Canada,1994,19997.6237373354,0.165562913907291,10.395,0.762,0.035,0.842,3,Medium
Cameroon,1994,700.70950185009,35.0944618459464,8.878,0.146,0.924,0.288,102,High
Colombia,1994,2325.91872973374,22.8462417553044,8.25,0.426,0.434,0.558,1211,High
Algeria,1994,1525.54061760288,29.0476561173071,27.74,0.101,0.577,0.179,1943,High
Spain,1994,13405.704414883,4.71841373967329,24.209,0.818,0.038,0.892,11,Medium
Ethiopia,1994,127.685923459033,7.59387600185336,3.1,0.084,0.496,0.195,76,Medium
United Kingdom,1994,19709.2380983653,2.21901260504205,9.648,0.751,0.03,0.814,16,Medium
Ghana,1994,320.50390343252,24.8702554369576,5.9,0.388,0.641,0.479,2004,High
Guatemala,1994,1292.67202750483,10.8553211494391,2.12,0.229,0.812,0.396,287,High
Haiti,1994,292.134224374091,39.3316195372753,7.858,0.107,0.84,0.232,44,Medium
Indonesia,1994,899.793982949817,8.53199829189143,4.366,0.052,0.94,0.193,12,Medium
India,1994,347.73421473994,10.2479355556119,7.593,0.582,0.551,0.738,1435,High
Iraq,1994,198.182101881974,448.499999999999,8.221,0.06,0.888,0.083,995,High
Israel,1994,16806.8353081322,12.253550985796,9.934,0.694,0.117,0.772,116,High
Jamaica,1994,2202.85831038471,35.0633942484772,6.335,0.486,0.169,0.623,5,Medium
Kenya,1994,276.447871981244,28.8143894306731,2.955,0.208,0.862,0.334,34,Medium
Sri Lanka,1994,678.268012020205,8.44871248698348,13.03,0.315,0.438,0.49,712,High
Mexico,1994,6202.36588372862,6.96581237191123,4.436,0.26,0.679,0.467,153,High
Mali,1994,266.455340167693,23.1767911524285,1.512,0.426,0.815,0.594,729,High
Niger,1994,206.214617135856,36.0410583134241,1.502,0.407,0.548,0.541,50,Medium
Nigeria,1994,744.884247151377,57.0317089119659,4.064,0.098,0.84,0.197,90,Medium
Nepal,1994,187.258176246151,8.34928672883384,10.458,0.326,0.826,0.407,0,Low
Pakistan,1994,399.955927561352,12.3681943936948,0.601,0.201,0.831,0.37,169,High
Peru,1994,1879.36657757919,23.7369050565046,4.491,0.094,0.691,0.246,369,High
Philippines,1994,1059.9838951587,10.3864734299517,3.767,0.409,0.707,0.542,308,High
Papua New Guinea,1994,1228.24343638772,2.85272217387134,2.418,0.413,0.612,0.537,26,Medium
Sudan,1994,439.420806884766,115.398144292738,15.617,0.018,0.824,0.088,977,High
Chad,1994,173.928895064035,41.7248972364414,0.709,0.077,0.955,0.173,521,High
Thailand,1994,2517.70732641683,5.04774897680755,1.347,0.303,0.751,0.404,1,Medium
Uganda,1994,198.441987998795,10.0367598792175,3.458,0.206,0.641,0.287,160,High
Angola,1995,404.29481849612,2666.45059288537,16.978,0.076,0.819,0.155,238,High
Armenia,1995,443.924860857976,175.951325534583,6.7,0.273,0.604,0.489,7,Medium
Azerbaijan,1995,314.55801908334,411.759641777267,7.2,0.083,0.928,0.247,55,Medium
Burundi,1995,164.915311679326,19.2632536382537,3.095,0.17,0.479,0.253,2828,High
Bangladesh,1995,309.458680823367,10.2978117947206,2.441,0.269,0.813,0.513,14,Medium
Brazil,1995,4756.75013552302,66.0070335542481,7.092,0.712,0.514,0.847,51,Medium
Canada,1995,20679.634792669,2.14876033057849,9.489,0.762,0.035,0.842,24,Medium
Colombia,1995,2583.66576349858,20.8917930194849,8.72,0.428,0.434,0.56,943,High
Algeria,1995,1466.94806760415,29.7796264864998,31.84,0.113,0.582,0.186,3059,High
Ecuador,1995,2108.00698245316,22.9341344145802,4.408,0.45,0.66,0.699,11,Medium
Spain,1995,15460.9110266653,4.67380337624704,22.675,0.818,0.038,0.892,13,Medium
Ethiopia,1995,136.523619088963,10.0221733553238,3.005,0.097,0.572,0.223,1043,High
France,1995,26791.8151982369,1.79648142095589,11.834,0.798,0.059,0.869,8,Medium
Georgia,1995,578.336923460866,162.717152150377,7.6,0.182,0.866,0.366,52,Medium
Ghana,1995,371.537243033836,59.4615536991446,6.484,0.396,0.641,0.491,155,High
Guatemala,1995,1421.06177809796,8.41141312270566,2.117,0.24,0.812,0.412,122,High
Croatia,1995,4929.05772183424,3.95010395010402,10.007,0.219,0.588,0.386,963,High
Haiti,1995,372.006104665125,27.6081851727601,7.51,0.238,0.84,0.348,1,Medium
Indonesia,1995,1011.22614205568,9.42030300572996,4.611,0.052,0.94,0.193,63,Medium
India,1995,375.17600537305,10.2248861637544,7.57,0.582,0.551,0.738,1079,High
Iraq,1995,619.135530927038,387.310847766638,8.431,0.062,0.888,0.097,1537,High
Israel,1995,19025.6840502517,9.93389990557126,8.782,0.694,0.117,0.772,78,Medium
Kenya,1995,340.064842175429,1.55432816055009,2.848,0.211,0.862,0.337,60,Medium
Sri Lanka,1995,741.838255293455,7.67484873449805,12.27,0.346,0.438,0.544,4971,High
Mexico,1995,4183.87847727479,34.9992712889592,7.095,0.281,0.662,0.491,22,Medium
Mali,1995,331.193112410921,13.4417696811974,1.464,0.422,0.815,0.594,4,Medium
Malta,1995,9828.32354719517,4.42664550286654,6.33,0.586,0.173,0.776,0,Low
Niger,1995,237.01998956862,10.5632886691814,1.494,0.404,0.548,0.532,67,Medium
